"country","subject","resp","cat","condition","site"
"China",1885,3,0.5,"mind",3
"China",1892,0,-0.5,"body",3
"China",1892,2,0.5,"mind",3
"China",1897,1,-0.5,"body",3
"China",1897,1,0.5,"mind",3
"China",1899,2,-0.5,"body",3
"China",1899,2,0.5,"mind",3
"China",1906,0,-0.5,"body",3
"China",1906,0,0.5,"mind",3
"China",1912,3,-0.5,"body",3
"China",1912,3,0.5,"mind",3
"China",1930,0,-0.5,"body",3
"China",1930,3,0.5,"mind",3
"China",1931,3,-0.5,"body",3
"China",1931,3,0.5,"mind",3
"China",1933,0,-0.5,"body",3
"China",1933,3,0.5,"mind",3
"China",1937,3,-0.5,"body",3
"China",1937,3,0.5,"mind",3
"China",1942,0,-0.5,"body",3
"China",1942,3,0.5,"mind",3
"China",1948,1,-0.5,"body",3
"China",1948,3,0.5,"mind",3
"China",1951,2,-0.5,"body",3
"China",1951,3,0.5,"mind",3
"China",1952,0,-0.5,"body",3
"China",1952,1,0.5,"mind",3
"China",1961,0,-0.5,"body",3
"China",1961,3,0.5,"mind",3
"China",1962,0,-0.5,"body",3
"China",1962,0,0.5,"mind",3
"China",1963,0,-0.5,"body",3
"China",1963,3,0.5,"mind",3
"China",1971,0,-0.5,"body",3
"China",1971,2,0.5,"mind",3
"China",1975,1,-0.5,"body",3
"China",1975,3,0.5,"mind",3
"China",1983,0,-0.5,"body",3
"China",1983,3,0.5,"mind",3
"China",1991,1,-0.5,"body",3
"China",1991,2,0.5,"mind",3
"China",2004,0,-0.5,"body",3
"China",2004,3,0.5,"mind",3
"China",2007,0,-0.5,"body",3
"China",2007,2,0.5,"mind",3
"China",2010,3,-0.5,"body",3
"China",2010,3,0.5,"mind",3
"China",2015,0,-0.5,"body",3
"China",2015,3,0.5,"mind",3
"China",2034,0,-0.5,"body",3
"China",2034,2,0.5,"mind",3
"China",2040,2,-0.5,"body",3
"China",2040,3,0.5,"mind",3
"China",2044,0,-0.5,"body",3
"China",2044,3,0.5,"mind",3
"China",2050,0,-0.5,"body",3
"China",2050,3,0.5,"mind",3
"China",2051,1,-0.5,"body",3
"China",2051,2,0.5,"mind",3
"China",2061,0,-0.5,"body",3
"China",2061,0,0.5,"mind",3
"China",2075,0,-0.5,"body",3
"China",2075,2,0.5,"mind",3
"China",2084,2,-0.5,"body",3
"China",2084,3,0.5,"mind",3
"China",2096,3,-0.5,"body",3
"China",2096,3,0.5,"mind",3
"China",2103,0,-0.5,"body",3
"China",2103,3,0.5,"mind",3
"China",2107,3,-0.5,"body",3
"China",2107,3,0.5,"mind",3
"China",2108,0,-0.5,"body",3
"China",2108,0,0.5,"mind",3
"China",2109,1,-0.5,"body",3
"China",2109,2,0.5,"mind",3
"China",2114,0,-0.5,"body",3
"China",2114,0,0.5,"mind",3
"China",2121,0,-0.5,"body",3
"China",2121,0,0.5,"mind",3
"China",2125,2,-0.5,"body",3
"China",2125,3,0.5,"mind",3
"China",2128,0,-0.5,"body",3
"China",2128,3,0.5,"mind",3
"China",2129,0,-0.5,"body",3
"China",2129,2,0.5,"mind",3
"China",2151,1,-0.5,"body",3
"China",2151,3,0.5,"mind",3
"China",2166,0,-0.5,"body",3
"China",2166,1,0.5,"mind",3
"China",2176,0,-0.5,"body",3
"China",2176,3,0.5,"mind",3
"China",2179,3,-0.5,"body",3
"China",2179,3,0.5,"mind",3
"China",2199,0,-0.5,"body",3
"China",2199,2,0.5,"mind",3
"China",2201,0,-0.5,"body",3
